Start_Time,Start_Lat,Start_Lng,Weather_Condition
2022-07-14 14:23:00,37.345123,-112.678901,Clear
2021-03-22 09:45:00,42.123456,-87.456789,Cloudy
2023-11-05 18:12:00,30.789012,-95.234567,Rain
2020-09-10 03:30:00,45.678901,-120.123456,Fog
2024-02-28 21:55:00,35.234567,-75.678901,Snow
2022-12-01 07:15:00,40.567890,-100.345678,Clear
2021-08-19 16:40:00,28.901234,-110.567890,Thunderstorm
2023-04-15 12:25:00,44.123456,-80.789012,Cloudy
2020-06-03 22:10:00,33.456789,-115.901234,Windy
2024-09-27 05:50:00,39.789012,-90.123456,Rain
2022-02-17 11:30:00,41.234567,-105.678901,Clear
2021-10-09 19:20:00,36.789012,-70.345678,Fog
2023-07-23 08:45:00,29.123456,-98.901234,Cloudy
2020-12-12 15:10:00,46.567890,-122.123456,Snow
2024-05-30 02:35:00,38.901234,-85.456789,Clear
2022-09-04 17:55:00,34.345678,-108.789012,Rain
2021-05-27 06:25:00,43.678901,-93.234567,Thunderstorm
2023-02-19 13:40:00,31.234567,-116.567890,Cloudy
2020-08-08 20:15:00,47.123456,-78.901234,Fog
2024-11-16 04:05:00,32.789012,-103.678901,Clear
2022-03-25 09:10:00,39.456789,-97.123456,Cloudy
2021-07-13 14:50:00,37.890123,-111.234567,Rain
2023-09-30 23:45:00,44.789012,-88.567890,Clear
2020-11-22 12:20:00,30.123456,-104.901234,Snow
2024-06-15 18:30:00,42.345678,-76.789012,Fog
2022-01-08 05:25:00,35.678901,-119.123456,Cloudy
2021-04-17 21:40:00,40.901234,-94.456789,Clear
2023-12-04 10:15:00,33.234567,-107.678901,Rain
2020-05-29 16:55:00,46.789012,-82.345678,Thunderstorm
2024-03-11 03:30:00,38.123456,-99.901234,Clear
2022-10-20 19:20:00,31.567890,-114.123456,Cloudy
2021-09-05 07:45:00,43.901234,-79.456789,Fog
2023-06-27 13:10:00,29.789012,-102.678901,Snow
2020-07-16 22:25:00,45.123456,-117.901234,Clear
2024-08-02 11:50:00,34.456789,-91.234567,Rain
2022-04-12 17:35:00,41.678901,-106.567890,Cloudy
2021-12-28 04:20:00,37.234567,-83.789012,Thunderstorm
2023-03-19 09:45:00,32.901234,-109.123456,Clear
2020-10-07 15:15:00,44.345678,-96.456789,Fog
2024-01-25 20:40:00,39.789012,-120.678901,Snow
2022-06-09 06:25:00,30.123456,-101.901234,Cloudy
2021-02-14 12:50:00,46.567890,-86.234567,Clear
2023-08-22 18:10:00,35.901234,-113.456789,Rain
2020-04-03 23:55:00,42.234567,-78.901234,Fog
2024-10-11 08:30:00,33.678901,-104.123456,Cloudy
2022-11-30 14:15:00,40.123456,-118.567890,Clear
2021-06-18 19:40:00,29.456789,-95.678901,Thunderstorm
2023-05-07 05:25:00,45.789012,-81.234567,Snow
2020-12-24 10:50:00,36.901234,-110.456789,Clear
2024-07-19 16:35:00,31.234567,-99.789012,Rain
2022-05-15 02:10:00,43.123456,-88.901234,Cloudy
2021-11-03 17:25:00,38.456789,-115.123456,Fog
2023-01-28 12:50:00,34.789012,-77.456789,Clear
2020-09-19 21:15:00,47.234567,-103.678901,Snow
2024-04-06 07:40:00,32.567890,-108.901234,Rain
2022-08-27 13:05:00,41.901234,-94.123456,Cloudy
2021-03-12 18:30:00,36.123456,-119.456789,Thunderstorm
2023-10-16 04:55:00,29.678901,-86.789012,Clear
2020-06-25 10:20:00,45.456789,-112.234567,Fog
2024-02-09 15:45:00,33.901234,-97.901234,Snow
2022-07-31 20:10:00,39.123456,-105.456789,Cloudy
2021-09-23 06:35:00,44.567890,-80.123456,Clear
2023-04-08 11:50:00,30.901234,-116.678901,Rain
2020-11-14 17:15:00,42.789012,-91.234567,Fog
2024-08-29 22:40:00,35.123456,-107.901234,Cloudy
2022-02-03 08:05:00,40.234567,-83.456789,Clear
2021-05-20 13:30:00,46.901234,-110.123456,Snow
2023-12-13 19:55:00,31.456789,-98.901234,Rain
2020-07-09 04:20:00,38.678901,-114.456789,Thunderstorm
2024-03-26 09:45:00,43.234567,-79.678901,Clear
2022-10-05 15:10:00,29.789012,-104.123456,Cloudy
2021-08-17 20:35:00,45.123456,-118.901234,Fog
2023-06-02 06:00:00,34.567890,-93.456789,Rain
2020-12-30 11:25:00,41.901234,-108.123456,Clear
2024-09-14 16:50:00,37.234567,-85.901234,Snow
2022-04-22 22:15:00,32.123456,-112.456789,Cloudy
2021-01-10 07:40:00,44.456789,-97.678901,Thunderstorm
2023-07-29 13:05:00,39.678901,-103.123456,Clear
2020-05-17 18:30:00,35.901234,-119.901234,Fog
2024-02-01 23:55:00,30.234567,-88.456789,Rain
2022-08-13 09:20:00,46.789012,-114.678901,Cloudy
2021-10-25 14:45:00,41.123456,-80.901234,Clear
2023-03-10 20:10:00,36.456789,-107.234567,Snow
2020-09-01 05:35:00,43.901234,-93.456789,Fog
2024-06-17 11:00:00,29.123456,-118.123456,Rain
2022-12-06 16:25:00,45.234567,-99.901234,Cloudy
2021-07-22 21:50:00,40.567890,-85.678901,Thunderstorm
2023-02-14 07:15:00,34.789012,-111.456789,Clear
2020-11-27 12:40:00,42.123456,-104.901234,Fog
2024-04-12 18:05:00,37.456789,-90.123456,Snow
2022-09-20 23:30:00,31.901234,-116.678901,Cloudy
2021-06-04 08:55:00,44.678901,-82.456789,Clear
2023-01-19 14:20:00,39.234567,-108.901234,Rain
2020-08-15 19:45:00,35.567890,-95.234567,Fog
2024-10-31 05:10:00,30.789012,-111.678901,Cloudy
2022-05-26 10:35:00,46.123456,-87.901234,Clear
2021-12-09 16:00:00,41.456789,-114.123456,Snow
2023-07-04 21:25:00,36.901234,-100.456789,Rain
2020-04-20 06:50:00,43.234567,-117.901234,Thunderstorm
